Model,SMOTE Used,Avg CV Score (Bal. Acc.),Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,AUC-ROC,Time (s)
Random Forest (Feature Selection),False,0.7454306023884255,0.8945634920634921,0.7449145355436423,0.5697556008146639,0.5470990873533247,0.5581975390754905,0.9311524881468566,181.2387261390686
Random Forest (All Variables),False,0.7426247618097352,0.8999404761904762,0.7421499066522991,0.6001833180568286,0.5335723598435462,0.564921059442671,0.9382528941852027,187.29461026191711
Random Forest (Feature Selection),True,0.8540318234301747,0.8707738095238096,0.8560992260258526,0.4822921559417567,0.8367014341590613,0.611882486145045,0.9351433825487281,357.3259572982788
Random Forest (All Variables),True,0.8415608020508374,0.8925198412698413,0.8426494046271147,0.5407920118007489,0.7767275097783573,0.6376346243895913,0.9388777949966433,410.10402607917786
XGBoost (Feature Selection),False,0.5410555578365701,0.883234126984127,0.5473360058918741,0.6234021632251721,0.10332464146023468,0.17726827904375786,0.8568620887717431,8.163638830184937
XGBoost (All Variables),False,0.6102771195963437,0.8911507936507936,0.6177518862173645,0.6302083333333334,0.2563559322033898,0.3644578313253012,0.8903616790427283,10.766974210739136
XGBoost (Feature Selection),True,0.8008958188942839,0.8071230158730158,0.8066662988761752,0.3669956221711063,0.8060625814863103,0.5043593534900321,0.863200326089569,16.947704076766968
XGBoost (All Variables),True,0.8220238905370356,0.8724007936507937,0.8267032126312883,0.48479224662336323,0.766297262059974,0.5938743290179981,0.8716401918876688,25.08728003501892
